frame_number,time_s,x,y,x_offset
669,22.27,918,578,-42.0
689,22.93,931,574,-29.0
710,23.63,852,497,-108.0
729,24.27,834,553,-126.0
752,25.03,751,398,-209.0
770,25.63,722,81,-238.0
785,26.13,857,284,-103.0
803,26.73,903,391,-57.0
827,27.53,975,531,15.0
827,27.53,974,531,14.0
842,28.03,950,621,-10.0
872,29.03,905,363,-55.0
905,30.13,805,608,-155.0
931,31.0,807,438,-153.0
950,31.63,826,346,-134.0
975,32.47,933,279,-27.0
996,33.17,971,655,11.0
996,33.17,969,655,9.0
1015,33.8,971,238,11.0
1015,33.8,969,238,9.0
1033,34.4,931,390,-29.0
1061,35.33,805,487,-155.0
1091,36.33,828,229,-132.0
1106,36.83,865,383,-95.0
1134,37.77,940,602,-20.0
1150,38.3,988,510,28.0
1176,39.17,990,391,30.0
1199,39.93,921,456,-39.0
1214,40.43,848,518,-112.0
1230,40.97,812,574,-148.0
1263,42.07,817,473,-143.0
1281,42.67,910,513,-50.0
1304,43.43,1028,651,68.0
1304,43.43,1026,651,66.0
1324,44.1,1045,573,85.0
1339,44.6,1014,727,54.0
1357,45.2,921,554,-39.0
1389,46.27,808,496,-152.0
1410,46.97,711,324,-249.0
1434,47.77,838,638,-122.0
1449,48.27,923,704,-37.0
1475,49.13,1003,575,43.0
1501,50.0,966,323,6.0
1501,50.0,965,323,5.0
1522,50.7,886,524,-74.0
1558,51.9,794,444,-166.0
1575,52.47,807,497,-153.0
1594,53.1,882,344,-78.0
1609,53.6,980,537,20.0
1654,55.1,985,470,25.0
1684,56.1,851,469,-109.0
1699,56.6,831,570,-129.0
1714,57.1,805,313,-155.0
1729,57.6,794,478,-166.0
1764,58.77,962,434,2.0
1783,59.4,1067,251,107.0
1799,59.93,1044,547,84.0
1814,60.43,1010,545,50.0
1814,60.43,1009,545,49.0
1831,61.0,954,162,-6.0
1858,61.9,855,287,-105.0
1858,61.9,855,285,-105.0
1879,62.6,858,510,-102.0
1895,63.13,916,559,-44.0
1913,63.73,976,477,16.0
1955,65.13,1094,403,134.0
1979,65.93,1010,444,50.0
2014,67.1,914,120,-46.0
2029,67.6,796,585,-164.0
2053,68.4,831,455,-129.0
2069,68.93,903,546,-57.0
2089,69.6,1012,534,52.0
2116,70.5,966,428,6.0
2133,71.07,882,478,-78.0
2151,71.67,894,213,-66.0
2188,72.9,776,396,-184.0
2202,73.37,798,408,-162.0
2226,74.17,829,521,-131.0
2254,75.1,917,461,-43.0
2282,76.03,915,433,-45.0
2297,76.53,882,640,-78.0
2327,77.53,833,387,-127.0
2329,77.6,848,408,-112.0
2357,78.53,857,369,-103.0
2374,79.1,967,463,7.0
2389,79.6,1048,641,88.0
2405,80.13,1082,470,122.0
2424,80.77,1083,554,123.0
2439,81.27,1012,509,52.0
2460,81.97,886,488,-74.0
2476,82.5,936,547,-24.0
2505,83.47,903,381,-57.0
2521,84.0,1001,526,41.0
2539,84.6,1069,418,109.0
2554,85.1,1038,160,78.0
2575,85.8,1008,249,48.0
2593,86.4,932,199,-28.0
2626,87.5,854,199,-106.0
2644,88.1,844,421,-116.0
2664,88.77,782,298,-178.0
2690,89.63,877,461,-83.0
2707,90.2,957,378,-3.0
2725,90.8,935,513,-25.0
2749,91.6,937,610,-23.0
2764,92.1,908,634,-52.0
2783,92.73,800,325,-160.0
2804,93.43,787,401,-173.0
2820,93.97,751,572,-209.0
2836,94.5,822,706,-138.0
2868,95.57,941,207,-19.0
2883,96.07,1008,555,48.0
